title
鄭運鵬敗選「專心擔任兒子的爸爸」　粉絲喊：唯一支持德德跟公公
桃園選情／朱立倫頻回防　藍營「6席全上」揮出全壘打
分析／「藍白拖」大傷民眾黨！　柯文哲拚空戰極大化仍惜敗
桃園立委／桃2選區藍綠激烈拉鋸！涂權吉宣布當選　國民黨6席全壘打
連3次拿最多！民進黨政黨票再領先　台灣3大黨不分區席次變化
分析／藍白分裂成致命傷！棄保沒有奏效　3關鍵成侯友宜敗選原因
高雄3度揮出全壘打！綠「超強母雞」發威　陳其邁輔選感言曝
抓戰犯！謝立功點名黃珊珊　「結果未達KPI要不要辭立委負責」
連江縣立委票數出爐！國民黨陳雪生橫掃53%票　放鞭炮慶祝
陳時中激動喊「謝謝大家還我們公道」　鞠躬致意：不畏艱難繼續來拼
嘉義立委／蔡易餘三連霸！大贏侯友宜本命區　嗨喊：沒有漏氣！
預告顏寬恒官司今年會有結果　林靜儀：中二選民一起面對
分析／破解8年魔咒！賴清德延續「不敗」紀錄　刷新台灣選舉史
美國代表團抵台灣訪問3天　外交部證實：明天與蔡英文會面
面相大師12年前就預言「賴清德有總統命」！上節目片段曝光
黃捷緊急接棒「74天進軍國會」　跨區出戰大勝對手1.9萬票
轟朱立倫非忠貞黨員應「知恥下台」　張亞中：國民黨須改造重生
屏東立委＆總統雙贏！潘孟安成功守護　徐富癸曝前老闆來電第一句話
「中霸天」翻轉台中有功　藍營接班人選浮現！ 黨內人看好盧秀燕
韓國瑜2月1日報到！Wecare高雄：「立法院長能罷免嗎」變熱搜
媒體人曝「第11屆立委之最」！最年輕才30歲　他15萬票全國得票最高
80歲候選人成台南立委選戰最大贏家！拿回保證金還有百萬補助款
侯友宜請假113天2件大事沒做　綠黨團要求到議會補施政報告
陸官媒突發布「台灣周邊軍演」影片　國防部：無異常
分析／2024藍綠白外政黨全滅　「搶救王義川」成泛綠小黨催命符
當選第一天在幹嘛？　賴清德今接見日外賓：盼促台日合作
新內閣佈局？陳其邁成「最強諸侯」　賴瑞隆：優秀人才不會寂寞
鞏固宜蘭綠地！操盤手陳金德：團結的開始　盼贏回2026執政權
蔡其昌連任展開3天謝票行程　「讓海線越來越好」
喊話朝野「以對話代替對抗」　柯建銘：合縱連橫尊重賴總統
選前之夜柯美蘭站上去就知道　新竹市里長：國民黨可以連莊
「國會龍頭」支持藍或綠？　黃國昌曝「已有共識」：明早說明
柯首參選拿369萬票！黃暐瀚點頭「小草已鑽出石縫」：不必洩氣
林靜儀啟動謝票行程　預測盧秀燕「被藍營寄望具實力的領導人」
分析／侯友宜輸光國民黨優勢縣市　2026地方大選4縣市拉警報
選後找戰犯朱立倫成箭靶　張麗善緩頰：三戰兩勝不能把矛頭指向他
幕後／賴清德當選中共最快春天恢復軍事操演　施壓聚焦內政對立
幫媽媽復仇！台中超級新人廖偉翔破了綠營鐵板：會戒慎恐懼
「最良心候選人」喊捐20萬保證金　遭選委會打臉！本人嗆：丟雞蛋抗議
古屋圭司「中國介選反效果」　台灣向世界示範並發出重要訊息
美國前資深官員今抵台　恭賀台灣選舉順利舉行
侯能贏的未大贏、賴會輸的僅小輸！分析22縣市得票數　柯本命區慘墊底
世界怎看賴清德當選？　5國政媒觀點：北京壓迫台灣人反效果
找8名不分區立委「新生訓練」　討論國會與誰合作？柯文哲這樣說
敗選湧朱立倫下台負責聲浪　國民黨副發言人提3點：已無內耗本錢
選舉史首次出現「總統得票＜政黨票」　侯康得票比國民黨少9萬票
比特王PO「16分鐘監票影片」質疑：事情大條了　2派網友吵翻
分析／不敵藍綠白成「時代眼淚」　曾經第三大黨陷「黃國昌路線」泥淖
2024區域立委廢票35.4萬創新高　媒體人分析：柯狂粉拒投
推趙少康接任黨主席！　國民黨青年點名朱立倫下台：讓戰鬥藍來
新加坡發聲祝賀賴清德　盼兩岸在「一個中國」基礎上對話、建立信任
一圖看選票消長！　藍穩不住九合一氣勢、綠「回血不到百萬票」　
雲林民進黨立委僅剩1席　劉建國：是一個警訊
TikTok影片控作票　中選會澄清過程：各政黨都有派監察員
分析／游錫堃是否請辭不分區？　交棒換血、搶救王義川再邁一小步
他開第一槍「朱立倫下台」！　國民黨發言人反擊：別再分化彼此
「過來人」陳水扁嘆：未來賴政府應低頭謙卑　藍白莫「逢賴必反」
吳欣盈花錢參選「記者會都站旁邊罰站」他喊慘！PTT卻搖頭：賺爛
國民黨重奪立院最大黨　各黨勢力16年來怎變化？
陳其邁守高雄「從搶救4席到八仙過海」　晉升綠營最強地方諸侯
沒時間理有心人背後插刀　黃珊珊稱柯「恩師」：永遠勇敢支持柯文哲
羅致政陷深偽片疑雲　葉元之險勝被高嘉瑜諷「天上掉下來的立委」
黃揚明：新潮流加盟軍4現任立委落馬　北、中受重創
侯友宜本命區新北倒輸賴清德8萬票　葉元之：太著重南部少待北部
藍綠白國會戰神一次看！　民眾黨恐現「兩個太陽」現象
立法院長之戰　「韓黃配還是游黃配」藍綠都有懸念
柯文哲敗選「個人補助款1.1億」　民眾黨另可領6億
賴清德閣揆人選！林佳龍、鄭麗君等6人被點名　出現1黑馬市長
侯友宜本命區失守！輸賴清德8萬票　新北12席立委藍綠各半
神準！小笠原公布選前預測　賴清德得票率僅差2個百分點
藍綠白三分天下！　沈富雄曝1效應「國民黨輸大位」
國民黨內部究責：各自算計不同心才是敗選主因
他千字文批「朱立倫戰略錯誤」開第一槍：沒辭連民進黨都比不上
賴清德「2028最大關卡」是他她！　郭正亮：不像侯友宜僵成這樣
政黨票未跨過1％　台聯黨主席劉一德宣布請辭、建議解散政黨
政黨票不到1%「還拉下高嘉瑜」　基進：大環境不利於理念型小黨
搶救王義川民進黨政黨票逆轉10％　本人親喊：你們都是英雄
桃園6立委全壘打　張善政盼賴清德做「4件事」
朱立倫去留「異見分歧」　她被點名扛下國民黨亂局
時力國會全滅　同黨立委深夜開轟：要追究黨中央2件事
賴清德「3難題」成跛鴨總統！　作家：脫離韓國瑜得求柯文哲
3陣營「最高票倉」出爐！2人丟本命區　柯文哲差1295票取全台唯一勝
柯文哲北市12行政區全輸！得票數排第三　比10年前選市長少49萬票
學者：賴清德當選體現蔡執政成果　「掉年輕票」反映分配問題
藍綠政黨補助款「可年領超過2.3億」　民眾黨獲1.5億
賴清德得票率差蔡英文17%！雷倩揭國民黨失敗2原因：操作棄保失敗
支持韓國瑜當國會龍頭？　柯文哲回應：這幾天開會解決
大選2影片質疑作票　事實查核中心認證「1疏失1錯誤」
賴清德打不過的2縣市「大逆轉翻藍」　全台變天版圖一次看！
快訊／侯康配輸90萬票　韓國瑜發聲了：致上我們最深的歉意
太陽花3人挺進國會！吳沛憶、黃捷、黃國昌突圍　時力全滅劃下句點
一路落後...輸了1.3萬票！　苗博雅喊：不要為我哭泣
小笠原：民進黨得票率減少18%　流向柯文哲
小民參政歐巴桑聯盟成「台第5大黨」嗨翻：我們不再是冷門小黨
「罷免侯友宜」破7.6萬人加入　謝龍介發聲：民進黨敢我就奉陪
陸委會呼籲中共：尊重台灣民主選舉結果、理性面對兩岸新局
學者指侯友宜戰略錯誤釀敗選　「六都都輸」衝擊蔣、盧等藍接班梯隊
全國區域立委最高票！洪孟楷奪下15.8萬票　得票率逼近6成
柯文哲喊若辭黨主席　民眾黨四分五裂！林濁水一句話指結局會更慘
諾魯突襲式斷交　陸委會批中共「操弄金錢外交」
諾魯索討「至少26億」　台灣還在協商找援助方案就被突襲斷交
外籍師「侵犯少女被2國驅逐」來台5縣市教書18年　監院糾正移民署
會美代表團談選後局勢　朱立倫：藍作為國會最大黨會將強力監督
戰鬥藍同意民眾黨立法院長4承諾　趙少康加碼提出「國政4主張」
快訊／法務部次長陳明堂「請辭獲准」！任職10年創法務部紀錄
諾魯贈台「斷交賀禮」！律師揭宏都拉斯「血淋淋教訓」：慢走不送
與美代表團見面　柯文哲重申：台美關係不因「哪個政黨執政」改變
快訊／不是蔡壁如！盧秀燕選定2席副市長　賴淑惠、鄭照新接任
中國砸錢買邦交讓人看清威權　涉外高層：把台灣人推更遠
回應白拋國會4承諾！綠黨團：立法院長應以適任為考量　非先提訴求
傅崐萁發表當選感言　向鄉親表達謝意
趙少康參選50天驚奇之旅　曝當副手不能太積極「比自己選難上10倍」
金溥聰告蔡正元黨內「亂糟糟」？　凌濤嘆別再亂：主戰場在國會
朱立倫選後遭青年「逼宮」　凌濤嗆：平常沒輔選沒在愛中華民國
曝國民黨爭立院龍頭2條路　藍委認同白提4承諾但也憂「遭綁架」
諾魯與我斷交！趙少康點名賴清德　盼義和團結果別落台灣人身上
民進黨「中國打壓台灣是對民主報復」　公然挑戰國際穩定秩序
批中共粗暴政治操作　黃國昌喊話外交部：揭露我國對諾魯援助金額
諾魯與我斷交！國民黨嘆綠快凍結台獨黨綱　好維護中華民國主權
快訊／中共花錢搶諾魯　總統府：對民主報復！公然挑戰國際秩序
諾魯與我斷交！柯文哲：援外要公開透明　不與中國做無謂外交惡性競爭
再丟一國！我國邦交國剩12個　蔡政府任內斷交第10國
非首次！諾魯2002年曾因「中共利誘」與我斷交　沒拿到援助又復交
敗選我承受！侯友宜為朱立倫緩頰　感謝趙少康、金溥聰、15縣市長
LIVE／剩下12邦交國！諾魯與我斷交　外交部14：15召開記者會說明
快訊／中共劍指賴清德當選　台灣傳再丟太平洋友邦諾魯
賴清德接見美國跨黨派前資深官員團　「展現對台支持意義重大」
賴清德40%得票率當選！國際記者會喊「2字」　郭正亮一聽昏倒
誣指陳吉仲抄襲被判拘役　凌濤、張斯綱、楊智伃：政治力干擾？
傳「退出民眾黨某群組」！蔡壁如競總不回應...她在北部開會
民進黨桃園立委團滅　郭正亮直言：等於鄭文燦力量徹底結束
快訊／趙少康呼應民眾黨立法院長4承諾　加碼陽光照進地方議會
會建議盧秀燕「繼續往上走」？子弟兵黃健豪：市長任期還有3年
快訊／蔡正元、陳文茜爆「做假民調騙朱立倫」　金溥聰提告了
幕後／賴清德首任閣揆需降低政治彩度　朱敬一浮上檯面
8票團進團出！要藍綠先答「國會改革立場」　黃珊珊：不在乎人選
紅衫軍為何不衝進總統府？　施明德昔曝原因「要衝要爽！太容易了」　
柯文哲力拓白色版圖　「雙黃」有望進攻2026雙北市長
藍營下屆總統人選　一王一后動向受矚目
快訊／施明德今辭世　2女兒發聲明：他不曾孤單
侯友宜一度嘆「柯文哲怎這麼強？」　朱立倫守住3道逼宮防線
施明德一生情史說不完　陳菊曾夜奔當和事佬排解感情問題
侯友宜重大任務曝光　敗選隔天立刻上工
施明德一生倡議「中華民國模式的台灣獨立」　改寫民進黨「台獨黨綱」
藍綠未過半！韓國瑜挑戰立院龍頭4劇本　這狀況最糟
藍綠都要看柯文哲臉色　挺誰當立法院長最大顧慮曝光
選後醞釀罷免侯友宜　吳敦義引賴清德1句話：新北市民應冷靜
拿369萬票跌破眾名嘴眼鏡　揭柯文哲再戰總統4大障礙
網紅批「作票」被打臉　謝龍介姪譏：韭菜自以為是小草
民眾黨8席決定國會龍頭關鍵　邱毅曝柯文哲3策略：下策台灣會危險
姜太公道場神準預言！去年9月就說「賴清德龍氣護佑」
阿公目標0票「拿近4萬票」有百萬補助？選委會證實1原因拿不到錢
80歲候選人被指「可領百萬補助款」！台南選委會：不符資格
美國代表團抵台灣訪問3天　外交部證實：明天與蔡英文會面
面相大師12年前就預言「賴清德有總統命」！上節目片段曝光
黃捷緊急接棒「74天進軍國會」　跨區出戰大勝對手1.9萬票
轟朱立倫非忠貞黨員應「知恥下台」　張亞中：國民黨須改造重生
屏東立委＆總統雙贏！潘孟安成功守護　徐富癸曝前老闆來電第一句話
「中霸天」翻轉台中有功　藍營接班人選浮現！ 黨內人看好盧秀燕
韓國瑜2月1日報到！Wecare高雄：「立法院長能罷免嗎」變熱搜
媒體人曝「第11屆立委之最」！最年輕才30歲　他15萬票全國得票最高
80歲候選人成台南立委選戰最大贏家！拿回保證金還有百萬補助款
侯友宜請假113天2件大事沒做　綠黨團要求到議會補施政報告
陸官媒突發布「台灣周邊軍演」影片　國防部：無異常
分析／2024藍綠白外政黨全滅　「搶救王義川」成泛綠小黨催命符
當選第一天在幹嘛？　賴清德今接見日外賓：盼促台日合作
新內閣佈局？陳其邁成「最強諸侯」　賴瑞隆：優秀人才不會寂寞
鞏固宜蘭綠地！操盤手陳金德：團結的開始　盼贏回2026執政權
蔡其昌連任展開3天謝票行程　「讓海線越來越好」
喊話朝野「以對話代替對抗」　柯建銘：合縱連橫尊重賴總統
北市YouBike前30分鐘免費要回來了！議會初審通過預算
高端公開契約！游淑慧點1關鍵：拿到EUA就簽「保密條款」
揭侯友宜敗選2主因　趙少康：警察口條不靈活、太相信學者智庫
陳佩琪爆今有人打給柯文哲　酸：若接了搞不好被錄音
快訊／國會即戰力！　民進黨新科立委黃捷加入湧言會運作
國會大洗牌！新科、現任立委搶辦公室「風水寶地」　一樓層近乎團滅
高端合約今公布！證實「僅保密5年」　官員直言：打臉在野黨造謠
蘇治芬18日起徒步謝票11鄉鎮　「不要灰心！還是要勇敢走下去」
跟隨黃國昌加入民眾黨？　陳椒華：未獲邀請也不會考慮加入其它政黨
民進黨拿適任當擋箭牌？　黃揚明：「游蘇」出線全因蔡英文意志
盧秀燕2028挑戰總統？　張益贍：將成賴清德、柯文哲大威脅
轟民眾黨提國會改革秀下限　黃智賢：當自己民主皇帝？
建議「國葬施明德」　許信良：他的歷史高度不亞於李登輝
避免被貼小藍小綠標籤　他籲民眾黨：不如爭取立委召委席次極大化
高端合約未公布遭質疑騙票　陳建仁：衛福部與高端密切聯絡中
謝立功爆「兩年條款」8委員僅1人簽　民眾黨駁斥：別用造謠博聲量
立院新民意2月1日開議　陳建仁：依憲政慣例提出總辭
新國會「最極端」時刻曝光！　謝震武：立法院恐全部重選
陳文茜指金溥聰令「提議藍白合就黨紀處分」　侯辦斥：不符事實
盼新院長回應民意期待　洪孟楷建議：首要推總統進立法院國情咨文
改版共軍動態示意圖　國防部：讓國人更實際了解安全狀況
「民進黨這次選得很差」　溫朗東擔心：賴清德變成賴一屆
張亞中再逼朱立倫辭黨魁　國民黨：黨內應團結「同志勿再內耗」
民進黨立委失利　鄭運鵬：有人會盯在野「國會改革」是否名副其實
張亞中要朱立倫「知恥下台」　林家興反擊：他為國民黨做了什麼？
中共擬3月後在台週邊軍演？　國防部：目前沒有掌握
柯建銘：綠立法院長人選「一定是游錫堃」　指朝小野大對話取代對抗
選舉期間在野陣營操作「疑美論」　AIT：民主社會相互辯論非常自然
國台辦稱「民進黨不代表主流民意」　AIT：對台民主體制有信心
綠白合私下已有默契？　游淑慧嘆：實在很怕黃珊珊、柯文哲、陳智菡
美代表團會晤賴清德　AIT：傳達維持台海現狀、不支持台灣獨立
賴瑞隆拿下高雄立委最高票　宣布360萬選舉補助款全捐出給弱勢兒童
綠黨團先以「適任國會議長」考量　民眾黨批傲慢：請重視國會改革
盧秀燕成藍營新共主？　葉元之點3大優勢：處事明快讓人感覺很暖
諾魯與我斷交與2758號決議文有關　AIT駁斥：未決定台灣定位
金溥聰遭控拿假民調「騙朱立倫」　國民黨：內參民調皆黨中央執行
對諾魯突襲與台斷交失望　AIT：中國的承諾最後常常沒有落實
民眾黨立院龍頭挺誰？　沈富雄：柯文哲最念茲在茲「他有功勞」
台大選後...諾魯轉向中國與台斷交　黃國昌籲中共尊重台灣人民選擇
白營拋「4主張」立院龍頭挺誰？　國民黨：民意為依歸、走自己路
周玉蔻轟民進黨區域立委選太差！　不分區點名范雲、陳培瑜「哪冒出來的」
立院三黨不過半「龍頭之爭」　綠委揭過往經驗：傾向跟民眾黨合作
「2028國民黨總統參選人，應該就是她了」！　黃暐瀚點名媽媽市長　
黃曙光接國防部長促進「綠白合」？　綠委點2白委：是內閣可考慮人才
網傳影片質疑「選務作票」　詹江村：別為了反民進黨而反民進黨
諾魯突襲式斷交後共軍再來　國防部：偵獲共機15架次、共艦3架次
見施明德最後一面　柯建銘悼念：你我之間的過往說不盡
柯文哲全台「唯二鐵白區」打敗藍綠　穩居高中生圈第一大黨
4中生代可望接任閣揆　「她」呼聲最高
趙少康曝光選前估算票數「少了113萬票」：投柯後悔也來不及了
施明德願一死換台和諧！陳菊悼念「Nori老哥」：永遠浪漫的革命者
柯文哲喊若辭黨主席　民眾黨四分五裂！林濁水一句話指結局會更慘
諾魯突襲式斷交　陸委會批中共「操弄金錢外交」
諾魯索討「至少26億」　台灣還在協商找援助方案就被突襲斷交
外籍師「侵犯少女被2國驅逐」來台5縣市教書18年　監院糾正移民署
會美代表團談選後局勢　朱立倫：藍作為國會最大黨會將強力監督
戰鬥藍同意民眾黨立法院長4承諾　趙少康加碼提出「國政4主張」
快訊／法務部次長陳明堂「請辭獲准」！任職10年創法務部紀錄
諾魯贈台「斷交賀禮」！律師揭宏都拉斯「血淋淋教訓」：慢走不送
與美代表團見面　柯文哲重申：台美關係不因「哪個政黨執政」改變
快訊／不是蔡壁如！盧秀燕選定2席副市長　賴淑惠、鄭照新接任
中國砸錢買邦交讓人看清威權　涉外高層：把台灣人推更遠
回應白拋國會4承諾！綠黨團：立法院長應以適任為考量　非先提訴求
傅崐萁發表當選感言　向鄉親表達謝意
趙少康參選50天驚奇之旅　曝當副手不能太積極「比自己選難上10倍」
金溥聰告蔡正元黨內「亂糟糟」？　凌濤嘆別再亂：主戰場在國會
朱立倫選後遭青年「逼宮」　凌濤嗆：平常沒輔選沒在愛中華民國
曝國民黨爭立院龍頭2條路　藍委認同白提4承諾但也憂「遭綁架」
諾魯與我斷交！趙少康點名賴清德　盼義和團結果別落台灣人身上
民進黨「中國打壓台灣是對民主報復」　公然挑戰國際穩定秩序
批中共粗暴政治操作　黃國昌喊話外交部：揭露我國對諾魯援助金額
諾魯與我斷交！國民黨嘆綠快凍結台獨黨綱　好維護中華民國主權
快訊／中共花錢搶諾魯　總統府：對民主報復！公然挑戰國際秩序
諾魯與我斷交！柯文哲：援外要公開透明　不與中國做無謂外交惡性競爭
再丟一國！我國邦交國剩12個　蔡政府任內斷交第10國
非首次！諾魯2002年曾因「中共利誘」與我斷交　沒拿到援助又復交
敗選我承受！侯友宜為朱立倫緩頰　感謝趙少康、金溥聰、15縣市長
LIVE／剩下12邦交國！諾魯與我斷交　外交部14：15召開記者會說明
快訊／中共劍指賴清德當選　台灣傳再丟太平洋友邦諾魯
賴清德接見美國跨黨派前資深官員團　「展現對台支持意義重大」
賴清德40%得票率當選！國際記者會喊「2字」　郭正亮一聽昏倒
誣指陳吉仲抄襲被判拘役　凌濤、張斯綱、楊智伃：政治力干擾？
傳「退出民眾黨某群組」！蔡壁如競總不回應...她在北部開會
民進黨桃園立委團滅　郭正亮直言：等於鄭文燦力量徹底結束
快訊／趙少康呼應民眾黨立法院長4承諾　加碼陽光照進地方議會
賴清德可單獨任命閣揆　學者：少數政府不是國際特例，小黨來去很快
許淑華談民進黨「年輕選票流失」：禁抖音不是辦法　年輕人都在用
賴清德感恩餐會幽默自嘲　贏蔡英文全因「副總統比妳的好」
共軍晚間擾台　11架次共機2小時內進入我北、中、西南空域
蔡英文出席內科晚會　喊話「公司有賺錢，幫員工加薪多發年終」
20逾年不敗女神落馬！蘇治芬爆「有人用3000元買總統政黨立委票」
蘇治芬控買票「就在我選區」：我們是輸在虎尾
「不是所有年輕人都支持你」　他駁柯文哲指民調失準因年輕人投票率低
駐台使節夫人體驗「台式主婦」　大讚南門市場「每周都想來」
因應國會新民意　陳建仁18日院會率內閣總辭
桃園市警察局長交接　張善政：期勉新首長讓治安更上層樓
高嘉瑜瘦到46.3KG　落選喊：失之東隅收之桑榆
歐18國發聯合聲明譴責中國對台恐嚇　外交部表感謝：不畏打壓
桃園藍營6席立委全壘打　張善政：攜手推動五楊高架延伸至頭份
賴清德退新潮流　國民黨質疑：2006年派系不就已經解散？
賴清德退出新潮流　前藍黨工：應宣布不任用新系人馬入閣
學習更直接與年輕世代溝通　許立明：「後太陽花世代」是下階段重點
柯建銘沙盤推演新國會龍頭之爭　估「民眾黨自提人選保送韓國瑜」
高端合約選後大公開　賴士葆諷：遲來的「不公不義」
柯文哲「別把民進黨新潮流劃等號」鋪路綠白合？　柯建銘：聽聽就好
黃國昌喊「改革比位置重要」　郭正亮：代表不跟藍綠合作投給自己
快訊／扛下重任拼一年　民進黨秘書長許立明請辭獲准
籲國民黨改革要偏向社會主義　趙少康：才能吸引年輕人、弱勢群眾
賴清德退新潮流！黃國昌酸虛晃一招　建議就職後「別兼任黨主席」
賴清德退新潮流　鄭文燦：總統本來就應該超越派系
以訟止謗！選後作票傳聞不斷　中選會提告：請勿再散佈作票謠言
賴清德退新潮流　柯辦酸「政治假動作」：此地無銀三百兩
籲在野集中力量　趙少康喊話民眾黨：放下大選過程中的小恩小怨
王鴻薇爆李進勇「把手伸進北市選委會」　尚未詢問蔣萬安就放話
「不過半跟五席一樣」　趙少康要國民黨多讓民眾黨
抖音瘋傳「作票」造假影片　綠委籲加強管理：無法改善就修法禁止
公開高端合約　蔣萬安酸「沒拆彈完成」：打開另一個潘朵拉盒子
黃捷加入湧言會運作　許智傑：不論什麼派系都會一起為人民努力
趙少康勸柯文哲「別搞小枝小節」　侯友宜電話接就是了沒那麼可怕
快訊／立法院長選舉「韓昌配」？　黃國昌表態了
2年條款僅1人簽？柯文哲酸謝立功「搞不清楚」　周台竹也罕見飆重話
「小草證」入校園白批綠反串操作　民進黨：不要利用民主傷害民主
傳民眾黨發「小草證」入校園　柯文哲批「側翼團體」：很多是反串
立院龍頭戰趙少康加碼4主張　沈富雄：上了民眾黨的當
柯粉抖音瘋傳「中選會作票」訊息　他嘆政府鴕鳥心態：別再消極面對
「我講侯友宜很多優點」　趙少康：但選舉不敢給弱勢者承諾就難選
立院龍頭可望藍白合？　藍委憂：出現「君悅會談」既視感
高端合約選後才公開！　侯友宜：人民還是有疑問
趙少康直指敗選原因　侯友宜認努力不夠：都是為我好
陳佩琪爆有人選後狂打電話給柯文哲！　侯友宜揭致電原因
柯文哲曝內參民調失準原因　林濁水轟：天天說謊！
柯文哲首談內參民調失準原因　媒體人：承認沒穿褲子真的很難？
高端合約「仔細看太詭異」！賴士葆揭2疑點：這不是電影情節嗎？
蕭美琴特勤隨扈是「女主播」！曾登國軍月曆封面
和台斷交「學長」！宏都拉斯萬人失業　為中國慘蒸發12.1億外匯
北市YouBike前30分鐘免費要回來了！議會初審通過預算
高端公開契約！游淑慧點1關鍵：拿到EUA就簽「保密條款」
揭侯友宜敗選2主因　趙少康：警察口條不靈活、太相信學者智庫
陳佩琪爆今有人打給柯文哲　酸：若接了搞不好被錄音
快訊／國會即戰力！　民進黨新科立委黃捷加入湧言會運作
國會大洗牌！新科、現任立委搶辦公室「風水寶地」　一樓層近乎團滅
高端合約今公布！證實「僅保密5年」　官員直言：打臉在野黨造謠
蘇治芬18日起徒步謝票11鄉鎮　「不要灰心！還是要勇敢走下去」
跟隨黃國昌加入民眾黨？　陳椒華：未獲邀請也不會考慮加入其它政黨
民進黨拿適任當擋箭牌？　黃揚明：「游蘇」出線全因蔡英文意志
盧秀燕2028挑戰總統？　張益贍：將成賴清德、柯文哲大威脅
轟民眾黨提國會改革秀下限　黃智賢：當自己民主皇帝？
建議「國葬施明德」　許信良：他的歷史高度不亞於李登輝
避免被貼小藍小綠標籤　他籲民眾黨：不如爭取立委召委席次極大化
高端合約未公布遭質疑騙票　陳建仁：衛福部與高端密切聯絡中
謝立功爆「兩年條款」8委員僅1人簽　民眾黨駁斥：別用造謠博聲量
立院新民意2月1日開議　陳建仁：依憲政慣例提出總辭
新國會「最極端」時刻曝光！　謝震武：立法院恐全部重選
陳文茜指金溥聰令「提議藍白合就黨紀處分」　侯辦斥：不符事實
盼新院長回應民意期待　洪孟楷建議：首要推總統進立法院國情咨文
改版共軍動態示意圖　國防部：讓國人更實際了解安全狀況
「民進黨這次選得很差」　溫朗東擔心：賴清德變成賴一屆
張亞中再逼朱立倫辭黨魁　國民黨：黨內應團結「同志勿再內耗」
民進黨立委失利　鄭運鵬：有人會盯在野「國會改革」是否名副其實
張亞中要朱立倫「知恥下台」　林家興反擊：他為國民黨做了什麼？
中共擬3月後在台週邊軍演？　國防部：目前沒有掌握
柯建銘：綠立法院長人選「一定是游錫堃」　指朝小野大對話取代對抗
選舉期間在野陣營操作「疑美論」　AIT：民主社會相互辯論非常自然
國台辦稱「民進黨不代表主流民意」　AIT：對台民主體制有信心
綠白合私下已有默契？　游淑慧嘆：實在很怕黃珊珊、柯文哲、陳智菡
美代表團會晤賴清德　AIT：傳達維持台海現狀、不支持台灣獨立
賴瑞隆拿下高雄立委最高票　宣布360萬選舉補助款全捐出給弱勢兒童
陸生2月1日納健保　陸委會：已完成造冊「待遇跟所有境外生一致」
賴清德退流「路更寬」！黃暐瀚曝4位可能閣揆人選　地下院長恐出局
陸稱「抓獲一批台灣間諜」　陸委會：扣個帽子就可以說是間諜
立院龍頭要挺誰　柯文哲晚間回應：我們已提出想法
藍「韓江配」對白釋善意　黃國昌給軟釘子：謝謝國民黨跟韓國瑜好意
基隆避免校園霸凌暴力事件　謝國樑：將啟動長期輔導機制
從「關鍵少數」變空氣？　媒體人：立院龍頭這局民眾黨輸了
藍營「韓江配」爭立院龍頭　綠委酸：民眾黨可決定立院是否下午開會
柯文哲21日起「阿北森友會」謝票開跑　記得帶環保杯「敬你一杯」
賴清德退出新潮流　謝龍介批：自欺欺人！其實是為派系運作
找江啟臣選立院正副院長　他分析韓國瑜5考量：有其脈絡可循
立院龍頭再叫牌！民進黨堅持「游昌配」　尊重國民黨提「韓江配」
立法院長選舉成「藍白合2.0」　媒體人讚韓國瑜：真的挺有料的
立院龍頭之爭！民眾黨不甩韓國瑜　喊：不會私下利益交換
韓國瑜找江啟臣搭檔角逐立院龍頭！　藍委多支持、部分持保留態度
當過黨主席、今與韓國瑜搭檔選立院正副院長　江啟臣從政經歷一次看
快訊／證實與韓國瑜搭檔爭立法正副龍頭　江啟臣：優先禮讓民眾黨
立院龍頭之戰　柯文哲重提民眾黨4要求：希望藍綠能正面回應
柯文哲領1.1億補助款用途曝光！　政黨營運、走訪地方、公益使用
快訊／韓國瑜要拚立法院長！　搭檔找來江啟臣
總統大選後獲1.4億補助款　侯友宜：全捐國民黨盼顧弱勢及青年
王婉諭認2024「創黨後最大挫敗」　時力將全台巡迴「聆聽人民聲音」
國民黨選後感恩茶會明新北啟動！　侯友宜：一定出席好好謝謝大家
喊話賴清德「以民為天、國家第一」　侯友宜：不要顏色團結台灣
蔡英文慰留陳建仁帶領看守內閣　穩定政局、穩健交接
黃國昌開嗆林秉文又點名鄭文燦　他反擊：真的是太扯了
造謠作票25案移送檢調偵辦！包含愛莉莎莎？　中選會：不便說明
選舉期間抓到破萬「協同帳號」　人工智慧實驗室：300萬人受影響
台電爆虧損近2000億！今年漲電價？　行政院：尊重專業決定
分析7選區柯粉票流向　黃揚明：「柯黑」還是「友柯」屬性差很大
陳亭妃立委五連霸　捐出近4百萬選舉補助款關懷弱勢及偏鄉
「陳內閣」轉看守內閣　行政院：持續推動各項福國利民政策
細看投票結果　他揪4怪異點！彰化這里「民進黨0票、國民黨1票」
傳民眾黨發「小草證」？　綠議員曬合照：小草我2014就做過了
賴清德退新潮流！　趙少康：弱勢總統還有什麼派系？
內閣總辭獲慰留將看守到520　陳建仁：繼續點燃自己、照亮台灣
2024大選落幕　陳建仁指示中選會：加強辦理假訊息澄清舉報
4年22警輕生「心理諮商覆蓋率不到1成」　監察院列警政署7大問題
朱立倫不請辭黨主席　趙少康：再不改革兩年任期就浪費了
柯文哲敗選喊「投票率低」　黃暐瀚：4年後80萬首投族全投也不會贏
柯文哲敗選歸因「投票率低」　媒體人轟：有夠蠢！洗腦哄騙支持者
曝柯建銘、黃國昌「新仇舊恨」　黃暐瀚：鐵了心斷絕與民眾黨合作
