title
快訊／網傳造假私密影片　羅致政明提告籲檢調徹查
日學者小笠原分析「最終民調」！賴、侯肉搏對決　柯成選戰關鍵
土城激戰成指標戰區！民進黨首場萬人造勢明登場　蔡蘇賴蕭齊聚
媽媽市長盧秀燕陪廖偉翔掃街　齊喊未來全力拚捷運藍線
沈榮津加持左楠半導體產業　李柏毅承諾助攻高科技育才、攬才
綠輔選要角：藍白呈現「等腰三角」　柯文哲很強不會被棄保
反嗆勞動部不思檢討改進　趙少康：當選定大幅提高勞保基金報酬率
副總統辯論藍白陣營9大錯假訊息一次看　7行政部門嚴守澄清
民眾黨3項動員令！黃國昌：年輕人投票率達85％　柯文哲就會當選
綠批藍「路口變堂口」　侯友宜：賴清德曾讚我嫉惡如仇、現在選舉就抹黑
新北校園割喉案　潘文忠：違禁品檢查更彈性、擴充校園輔導人力
賴清德被強吻、南韓在野黨魁被割頸　國安局：請國人避免熱情過激
林淑芬騎單車推政績「力拼6連霸」　李有宜路口拜票曬團結氣勢
直擊／柯文哲車掃首日！攻侯友宜新北本命區　2藍小雞幫喊「加油」
2024總統大選是2000的翻版？　回顧台灣政壇首次三腳督
「日本女婿」莊銘淵祈求日本平安！陳愷寧暫停選舉行程1周
封關民調見「難有棄保效應」　學者提「藍營勝選」3解方
信賴之友會「兼容並蓄不同主張」　響應1／3站路口挺台灣
李坤城「扶媽祖鑾轎」回拱心宮還願　蔡明堂揪鄉親里眷村慶元旦
被爆欲在鬧區宮廟、住宅囤放彈藥　軍方致歉：是要提升後勤支援韌性
違者最重罰200萬！　中選會：1月3日零時起不得發布、散佈民調
突破同溫層者得天下！　歷屆總統當選人得票數皆超越政黨票　
呂玉玲出示「指甲剪組單據」駁賄選　反告劉仁照意圖使人不當選
吳欣盈自評辯論第一名　他：過度自信只有反效果
前兩次「都輸約1萬9千票」　林國春轟張宏陸：政見膨風又有陷阱
遭柯文哲嗆「國民黨是中共支持的人」　侯友宜：己所不欲勿施於人
轟侯藉巧門獵地　賴競總拆解地籍圖：擁有這塊「裏地」將無往不利
最後催票！綠營路口大串聯搶救黃捷　郭倍宏喊「當選捐薪水」
網轟讓鏡電視提問辯論會「不專業」　中選會：非主辦單位勿以訛傳訛
賴清德舅舅抱不平：萬里老宅昔是「土堆仔尾」　蓋給礦工住的破厝
李正皓指侯友宜家族獵地　侯辦駁斥：把抹黑當職業？
綠批土地爭議反遭質疑家族養地　侯辦5問賴清德：有多少人在養地？
吳欣盈辯論會全程「KP徽章反著戴」　網笑：暗示逆轉勝？
藍爆高端股東名冊有1千名民進黨員　前立委、信賴之友會幹部入列
新莊土地變學區房？ 李正皓控侯友宜違反《公職人員利益衝突迴避法》
吳欣盈喊「立院薪水也全捐」　林濁水轟：以後選公職先拚捐薪水
質疑賴清德「死刑」立場　侯友宜競辦3問：籲面對8成反廢死民意
又查獲共諜案　國防部：透過地下錢莊涉嫌在台發展組織
看完封關民調「下架民進黨絕對有機會」　陳學聖：就看柯文哲怎麽選
選前11天藍營桃園路口拜票　「不會打仗」趙少康提5保證
媒體質疑「家族土地超過500筆」　李妍慧：沒有違法「全都露」
選前黃金周末腳踏車繞行選區　曾玟學宣布捐出選票補助款
趙少康還原接洽泰勒絲來台過程　強調「都是實話」：文化部不要亂講
菱傳媒民調／賴清德自8月首「跌破四成」　侯康配32.83％緊追在後
選前10天催票計畫曝光　「賴蕭配」將辦21場大型造勢
賴清德當立委曾施壓關說？　邱毅曝「略有所聞」：我近日會採取行動
評副總統辯論會　游盈隆：藍綠發揮副手功能、吳欣盈具「甘草效果」
批趙少康把國家大政當「戰情室」　賴清德：不能夠對和平存有幻想
侯友宜稱藍白六點協議仍有效　柯文哲：國民黨是誰在做決定？
副手辯論結束　柯文哲讚吳欣盈「四平八穩」、吳自評NO.1
選舉民調今封關　柯文哲「有些民調看就假的」：1月13日來開獎
113挺侯康！高雄藍營60路口串聯拜票　夢時代周日3萬人大造勢
總統大選8家封關民調總整理　藍綠白選情走勢一次看
趙少康辯論會壓倒性獲勝　學者：蕭美琴太保守、吳欣盈應對力不足
快訊／中共空飄氣球飛越台灣上空　元旦晚現蹤後在宜花外海消失
預測總統大選最終得票率　游盈隆：勝負差距最高94萬票、最低10萬票
ET民調／73.5%不支持廢死　85%民眾認為現行法律對加害者過度保護
讚趙少康辯論會「兩招放大絕」　學者：狠甩蕭美琴、吳欣盈
批「民進黨用抹黑選舉」　朱立倫籲：中間選民要沉思一下
藍軍全國串連路口拜票　桃園57重要路口爭取選民挺「候康配」
迎新年！立委候選人賴香伶攀登石門山　挑戰與民眾深度連結
總統勝敗關鍵　陳其邁急催青年返鄉投票：相信他們會做出正確選擇
2024北5區立委選情膠著…吳沛憶豪華陣容助選、鍾小平被遭2女人夾殺
ET封關民調／賴蕭38.9%、侯康35.8%、柯盈22.4%　藍鐵票更甚白
陪三重跨年！賴清德挺李坤城拱心宮參拜　蔡明堂邀鄉親元旦升旗
趙少康拋「當選捐官邸」　黃揚明：國家資產不該循官員個人想法
高雄環狀輕軌「成圓」今試營運　李柏毅：進一步爭取捷運紫線
趙少康稱泰勒絲不敢來台　基進：難道Coldplay、YOASOBI無憂患意識？
分析／趙少康辭中廣、捐官邸強勢主導辯論　以攻代守狂轟民進黨
日僑、留學生平安！　謝長廷提醒旅客：警報解除前先至高處避難
吳欣盈稱擋服貿讓服務業薪水不漲　時力：應譴責2013年黃國昌、柯文哲
外交部慰問日本7.6強震　目前未聞僑團、留學生組織受災
不只泰勒絲　趙少康參選至今還曾搬出周杰倫
陳建仁南下屏東萬金聖母教堂　讚徐富癸「慢飛天使爸爸」很了不起
日本石川7.6強震最大震度7 　賴清德慰問：願提供最大協助
轟小英逼習近平對一中表態　趙少康：像逼問人家何時第一次上床
賴清德競總列「趙少康10造謠」　封他：胡說八道吵架王
分析／感冒不當「病貓」　蕭美琴辯論「精準打擊」連金童也吃鱉
趙少康：請辭中廣董事長「立刻生效」　明天就把辭職書交董事會
吳欣盈辯論「召喚」柯文哲逾20遍　民進黨：令人摸不著頭緒
「智慧、魄力、格局」　侯友宜讚趙少康：擔任副總統的證明
蕭美琴：總統不是在選名嘴　「選對的人就是要選即戰力」
馬英九元旦桃園助選　為牛煦庭、涂權吉加持期2024贏回藍天
批民進黨散播「五月天遭陸施壓」假消息　趙少康：五月天應該出來講
趙少康稱特勤看守賴清德老家起碼7000萬　國安局：據點月租8000元
選戰是戰爭與和平的選擇！　趙少康：賴清德的信仰讓台灣跟著陪葬
學者專家對談總統票怎麼投　建議青年多查、多問、多比較
羅致政衝調查局備案告到底　媒體下架、色情網站刪除深偽不雅片
快訊／土城萬人造勢　賴清德再問柯文哲「兩岸一家親」戶長是誰？
趙少康稱「賴清德未來恐鬥爭蔡英文」　侯康當選將討論阿扁特赦
快訊／賴清德嘆羅致政遭抹黑　「用民主力量粉碎造謠，好不好？」
賴蕭競選影片《在路上》被控抄襲　導演：這種呈現是世界第一次
侯友宜力挺割頸案家屬「反對廢死」！感嘆：太多罪犯假裝懺悔
「沒有人要下架、仇視、分化誰」　蕭美琴：國會沒過半恐浪費時間
史上最大選舉年！蔡英文：用選票告訴世界　繼續當「世界的台灣」
羅致政現身土城萬人造勢　高呼「創造民主歷史」
幕後／砲打藍綠擴大選民版圖　柯文哲5部曲走「中間路線」瞄準5種人
汐止造勢「上班時間封路」在地人狂罵被刪　賴品妤道歉：不好意思
汐止立委選情膠著　藍大於綠？上屆賴品妤險勝1.5%
面對威脅求人不如求己　漢翔董座胡開宏：新總統應堅持國防自主政策
分析／藍營差「臨門一腳」！侯友宜倒數10天回防新北5趟　陸戰成關鍵
桃市婦幼局、城鄉會首長宣誓　張善政：跨局處打造宜居之都
總統大選倒數10天！　選舉公報出爐：候選人政見、學經歷一次看
高雄男揚言「對市長砰砰」　陳其邁：能體諒但不允許暴力
「在路上」廣告掀熱議　蕭美琴：走對的路一定要有好的人開車
2024大選誰是「最強第三人」？　黃暐瀚：是蔡英文
「一個李全教各自表述」　時力諷白假反黑金：黃國昌昔痛批柯文哲今力挺
圖／柯文哲抵桃園！「小草」白紙寫心願「全家12票」　遇民眾嗆白賊
安樂死公投提案人列時力不分區　「每個人皆有權利決定如何死亡」
游顥陣營指控「包裝米賄選」　蔡培慧團隊反擊：先解釋廚餘桶
「明明是魔鬼還裝是賴神」　侯友宜競辦曝賴清德「卡管」真面目
陽明交大高雄分部籌設啟動　李柏毅：若真心挺左楠半導體就別亂扯後腿
新北第11選區／曾柏瑜披綠袍「深藍區」挑戰7連霸委員羅明才
高端疫苗添加成分有害？　陳時中批蔡正元「一派胡言」講外行話
交通建設成攻防！黃秀芳稱遭抹黑　楊曜聰發再批紙上談兵
赴侯友宜故鄉催票！　朱立倫：嘉義400年來第一次要出總統了
快訊／賴清德競總挺羅致政、張宏陸　轟中國勢力介選升級
高市六選區激戰！郭倍宏要求放了總會長　黃捷、陳美雅街頭催票
選情分析／吳秉叡步步為營「爭3連霸」！蔣欣璋世代交替「奪回主場」
